Game,Nickname,FirstName,LastName,Country,CountryCode,Role,Status,ImageUrl,SocialUrl,Notes
,Wylenz,,,,,,,,,
League of Legends,Adam,Adam,Maanane,France,FR,Toplaner,Former,,,
League of Legends,Akabane,Philippe,Le,France,FR,Jungler,Former,,,
,Eyhro,,,,,,,,,
,Nuclearint,,,,,,,,,
,Jujutw0,,,,,,,,,
,Helaz,,,,,,,,,
,Farrhell,,,,,,,,,
,Rejakar,,,,,,,,,
,Galdix,,,,,,,,,
,Cabochard,,,,,,,,,
,Maynter,,,,,,,,,
,Canna,,,,,,,,,
,Ease,,,,,,,,,
,Shin,,,,,,,,,
,Matriix,,,,,,,,,
,Glance,,,,,,,,,
,Double61,,,,,,,,,
,Canbizz,,,,,,,,,
,Kotei,,,,,,,,,
,Wet Jungler,,,,,,,,,
,Vatira,,,,,,,,,
,Rise,,,,,,,,,
,Itachi,,,,,,,,,
,Stake,,,,,,,,,
,Kilzyou,,,,,,,,,
,Cinkrof,,,,,,,,,
,113,,,,,,,,,
,Sheo,,,,,,,,,
,Yukino,,,,,,,,,
,Yike,,,,,,,,,
,Lyncas,,,,,,,,,
,Boukada,,,,,,,,,
,Isma,,,,,,,,,
,F4ngeer,,,,,,,,,
,Magnum,,,,,,,,,
,LiriLia,,,,,,,,,
,Speedwka,,,,,,,,,
,Alkyia,,,,,,,,,
,IamTLT,,,,,,,,,
,Atow,,,,,,,,,
,Noly,,,,,,,,,
,AztraL,,,,,,,,,
,Saken,,,,,,,,,
,SlowQ,,,,,,,,,
,Vladi,,,,,,,,,
,Abbedagge,,,,,,,,,
,Sevire,,,,,,,,,
,Marteen,,,,,,,,,
,Mel,,,,,,,,,
,Kuripuuya,,,,,,,,,
,Anesilia,,,,,,,,,
,Dralii,,,,,,,,,
,ExoTiiK,,,,,,,,,
,xMatty,,,,,,,,,
,Rekkles,,,,,,,,,
,Caliste,,,,,,,,,
,3XA,,,,,,,,,
,Soren,,,,,,,,,
,N4rrate,,,,,,,,,
,Nelo,,,,,,,,,
,Jiex,,,,,,,,,
,Ferra,,,,,,,,,
,Eversax,,,,,,,,,
,Arleyobi,,,,,,,,,
,Targamas,,,,,,,,,
,Hantera,,,,,,,,,
,Piero,,,,,,,,,
,Targa,,,,,,,,,
,Fleshy,,,,,,,,,
,Nsurr,,,,,,,,,
,Yohpa,,,,,,,,,
,Tomaszy,,,,,,,,,
,Ninou,,,,,,,,,
,Safiaa,,,,,,,,,
,Jordi,,,,,,,,,
,Reha,,,,,,,,,
,TheRock,,,,,,,,,
,Wadi,,,,,,,,,
,Pakko,,,,,,,,,
,Engh,,,,,,,,,
,LaAw,,,,,,,,,
,SmartSeven,,,,,,,,,
,Apples,,,,,,,,,
,Blidzy,,,,,,,,,
,Ze1sh,,,,,,,,,
,Emash,,,,,,,,,
,uNKOE,,,,,,,,,
,Fistie,,,,,,,,,
