Game,Team,ResultTitle,ShowInTrophyCabinet,PlacementLabel,PlacementMin,PlacementMax,Date,Players,Competition,SourceUrl,Notes
League of Legends,Kameto Corp,Top 3 - LFL Division 2 2020,No,#3,3,3,2020-07-26,Wylenz; Adam; Akabane; Eyhro; Nuclearint; Jujutw0; Helaz; Farrhell; Rejakar; Galdix,LFL Division 2,,
League of Legends,Karmine Corp,EU Masters Spring 2021,Yes,#1,1,1,2021-05-02,Adam; Cinkrof; Saken; xMatty; Targamas,European Masters,https://www.team-aaa.com/fr/actualite/gagne-les-european-masters-spring-split-2021_120327,
League of Legends,Karmine Corp,EU Masters Summer 2021,Yes,#1,1,1,2021-09-19,Cabochard; Cinkrof; Saken; xMatty; Targamas,European Masters,https://www.team-aaa.com/fr/actualite/la-karmine-corp-remporte-les-european-masters-summer-split-2021_121456,
League of Legends,Karmine Corp,EU Masters Spring 2022,Yes,#1,1,1,2022-05-08,Cabochard; 113; Saken; Rekkles; Hantera,European Masters,https://www.team-aaa.com/fr/actualite/la-karmine-corp-remporte-les-european-masters-spring-split-2022_123789,
League of Legends,Karmine Corp,LFL Spring Split 2021,Yes,#1,1,1,2021-03-27,Adam; Cinkrof; Saken; xMatty; Targamas,LFL,https://www.team-aaa.com/fr/actualite/la-karmine-corp-remporte-le-spring-split-de-la-lfl-2021_120123,
League of Legends,Karmine Corp,LFL Summer Split 2023,Yes,#1,1,1,2023-08-12,Cabochard; Sheo; Saken; Caliste; Targamas,LFL,https://www.team-aaa.com/fr/actualite/la-karmine-corp-remporte-le-summer-split-de-la-lfl-2023_127890,
League of Legends,Karmine Corp Blue,LFL Winter Split 2025,Yes,#1,1,1,2025-03-05,Maynter; Yukino; SlowQ; 3XA; Piero,LFL,https://escharts.com/news/lfl-winter-2025-season-viewership,
League of Legends,Karmine Corp,LEC Winter Split 2025,Yes,#1,1,1,2025-03-02,Canna; Yike; Vladi; Caliste; Targa,LEC,https://www.lemonde.fr/pixels/article/2025/03/03/e-sport-la-karmine-corp-sacree-championne-d-europe-de-league-of-legends_6574812_4408996.html,
League of Legends,Karmine Corp,Finalist - EU Masters Summer 2022,No,#2,2,2,2022-09-25,Cabochard; 113; Saken; Rekkles; Hantera,European Masters,https://www.team-aaa.com/fr/actualite/la-karmine-corp-s-incline-en-finale-des-european-masters-face-a-team-heretics_124271,
League of Legends,Karmine Corp,EU Masters Summer 2023,Yes,#1,1,1,2023-09-08,Cabochard; Cinkrof; Saken; Caliste; Targamas; Reha,European Masters,https://www.team-aaa.com/fr/actualite/european-masters-summer-2023-les-resultats_127790,
League of Legends,Karmine Corp,LEC 2025 Winter 2025,No,#2,2,2,2025-02-03,Canna; Yike; Vladi; Caliste; Targamas; Reha; Apples; Wadi,LEC,,
League of Legends,Karmine Corp,LEC 2025 Winter 2025 Playoffs,Yes,#1,1,1,2025-03-02,Canna; Yike; Vladi; Caliste; Targamas; Reha; Apples; Wadi,LEC,,
League of Legends,Karmine Corp,Finalist - First Stand 2025,No,#2,2,2,2025-03-16,Canna; Yike; Vladi; Caliste; Targamas; Reha; Apples; Wadi,First Stand,,
League of Legends,Karmine Corp,LEC 2025 Spring 2025,No,#1,1,1,2025-05-13,Canna; Yike; Vladi; Caliste; Targamas; Reha; Apples; Wadi,LEC,,
League of Legends,Karmine Corp Blue,LFL 2024 Spring Playoffs,Yes,#1,1,1,2024-04-05,Maynter; Lyncas; Vladi; Caliste; Fleshy; TheRock; Wadi; Apples,LFL,,
League of Legends,Karmine Corp Blue,LFL 2024 Summer,No,#2,2,2,2024-07-18,Maynter; 113; Abbedagge; Caliste; Fleshy; Wadi; Blidzy,LFL,,
League of Legends,Karmine Corp Blue,Finalist - LFL 2024 Summer Playoffs,No,#2,2,2,2024-08-03,Maynter; 113; Abbedagge; Caliste; Fleshy; Wadi; Blidzy,LFL,,
League of Legends,Karmine Corp Blue,Top 3-4 - Coupe de France 2024,No,#3-4,3,4,2024-09-30,Maynter; 113; Abbedagge; Caliste; Fleshy; Wadi; Blidzy,Coupe de France,,
League of Legends,Karmine Corp Blue,Top 3 - LFL 2025 Flash In Groups - Group A,No,#3,3,3,2025-01-31,Maynter; Boukada; SlowQ; 3XA; Piero; TheRock; Blidzy,LFL Flash In Groups,,
League of Legends,Karmine Corp Blue,LFL 2025 Flash In Playoffs,Yes,#1,1,1,2025-02-27,Maynter; Boukada; SlowQ; 3XA; Piero; TheRock; Blidzy,LFL Flash In Playoffs,,
League of Legends,Karmine Corp Blue,EM 2025 Winter,No,#3-4,3,4,2025-03-21,Maynter; Isma; SlowQ; 3XA; Nsurr; TheRock; Blidzy,European Masters,,
